ts_bucket,trigger_minute,timeframe,predicted_trend,truth_trend,direction_is_match,predicted_support,predicted_resistance,range_tolerance_pct,range_tolerance_abs,support_error_abs,resistance_error_abs,support_within_tolerance,resistance_within_tolerance,range_is_match,horizon_minutes,expected_bars,actual_bars,missing_bars,missing_start_time,truth_support,truth_resistance,path_state,start_open,end_close,max_high,min_low,close_return_bps,close_return_pct,max_up_bps,max_up_pct,max_down_bps,max_down_pct,up_breach_time,down_breach_time,complete_window
2026-03-17T18:45:00+00:00,45,15m,Sideways,Bearish,False,2330.0,2344.0,1.0,23.3592,2.9899999999997817,5.389999999999873,True,True,True,15,15,15,0,,2327.01,2338.61,down_only,2335.92,2331.96,2338.61,2327.01,-16.952635364224644,-0.16952635364224644,11.515805335799989,0.11515805335799989,-38.143429569504896,-0.38143429569504894,,2026-03-17T18:55:00+00:00,True
2026-03-17T18:45:00+00:00,45,4h,Bullish,Sideways,False,2311.0,2356.0,1.0,23.3592,4.610000000000127,11.0,True,True,True,240,240,240,0,,2315.61,2345.0,down_then_up,2335.92,2323.64,2345.0,2315.61,-52.57029350320352,-0.5257029350320352,38.871194218979,0.38871194218979,-86.94647076954665,-0.8694647076954665,2026-03-17T21:13:00+00:00,2026-03-17T18:55:00+00:00,True
2026-03-17T18:45:00+00:00,45,1d,Bullish,,False,2293.0,2378.0,1.0,,,,False,False,False,1440,1440,488,952,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T19:00:00+00:00,0,15m,Bearish,Sideways,False,2327.0,2338.6,1.0,23.3196,3.2100000000000364,0.8699999999998909,True,True,True,15,15,15,0,,2330.21,2337.73,no_material_break,2331.96,2336.15,2337.73,2330.21,17.96771814267739,0.1796771814267739,24.74313453060928,0.2474313453060928,-7.504416885366627,-0.07504416885366627,,,True
2026-03-17T19:00:00+00:00,0,4h,Sideways,Sideways,True,2303.0,2343.0,1.0,23.3196,12.610000000000127,2.0,True,True,True,240,240,240,0,,2315.61,2345.0,up_then_down,2331.96,2328.41,2345.0,2315.61,-15.223245681744713,-0.15223245681744713,55.918626391533444,0.5591862639153344,-70.11269490042716,-0.7011269490042715,2026-03-17T19:15:00+00:00,2026-03-17T19:42:00+00:00,True
2026-03-17T19:00:00+00:00,0,1d,Bullish,,False,2293.0,2385.8,1.0,,,,False,False,False,1440,1440,473,967,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T19:15:00+00:00,15,15m,Bullish,Sideways,False,2330.2,2344.1,1.0,23.361500000000003,0.5600000000004002,5.110000000000127,True,True,True,15,15,15,0,,2330.76,2338.99,no_material_break,2336.15,2333.65,2338.99,2330.76,-10.701367634783354,-0.10701367634783354,12.156753633112416,0.12156753633112416,-23.072148620593147,-0.23072148620593147,,,True
2026-03-17T19:15:00+00:00,15,4h,Bullish,Sideways,False,2305.0,2350.0,1.0,23.361500000000003,10.610000000000127,5.0,True,True,True,240,240,240,0,,2315.61,2345.0,down_then_up,2336.15,2329.4,2345.0,2315.61,-28.893692613916055,-0.28893692613916055,37.88284142713483,0.3788284142713483,-87.92243648738318,-0.8792243648738318,2026-03-17T21:13:00+00:00,2026-03-17T19:31:00+00:00,True
2026-03-17T19:15:00+00:00,15,1d,Bullish,,False,2305.0,2385.0,1.0,,,,False,False,False,1440,1440,458,982,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T19:30:00+00:00,30,15m,Bearish,Bearish,True,2330.14,2339.43,1.0,23.3366,6.710000000000036,5.069999999999709,True,True,True,15,15,15,0,,2323.43,2334.36,close_down,2333.66,2324.55,2334.36,2323.43,-39.03739190798894,-0.3903739190798894,2.9995800587934163,0.029995800587934163,-43.83672000205729,-0.4383672000205729,,2026-03-17T19:40:00+00:00,True
